episode,traffic_level,reward,avg_wait,max_lane_wait,emergency_time,throughput,epsilon
38,low,-641.1371485564295,135.5,77,499,710,0.05
39,medium,1317.0760527799014,20.90909090909091,67,223,1290,0.05
40,high,-845.3495681165406,2.126315789473684,63,114,1574,0.05
41,high,3285.693667982172,0.78125,20,72,1650,0.05
42,high,3357.6321612291035,1.1368421052631579,30,68,1620,0.05
43,low,-3929.16812031768,142.75,163,421,728,0.05
44,medium,348.56826469169226,20.625,90,231,1244,0.05
45,low,-3814.717428183827,76.33333333333333,205,520,703,0.05
46,medium,1457.7056045474947,16.82608695652174,105,152,1231,0.05
47,low,-2655.8445121615705,89.16666666666667,157,418,703,0.05
48,high,3530.798121287203,0.8125,23,60,1627,0.05
49,high,3700.9158661921997,0.7083333333333334,18,65,1650,0.05
50,low,-8099.007775673661,30.5,276,511,692,0.05
51,medium,865.204219221006,10.387755102040817,138,161,1212,0.05
52,low,-7947.550011338615,22.727272727272727,314,527,679,0.05
53,high,3954.3625059472256,0.7659574468085106,20,50,1638,0.05
54,low,-3407.75045869413,83.42857142857143,180,481,703,0.05
55,medium,751.2894048443675,15.423076923076923,112,239,1251,0.05
56,medium,1941.0434996964925,13.461538461538462,91,259,1283,0.05
57,low,-4826.847681400499,71.27272727272727,222,360,690,0.05
58,medium,-781.9605598046285,15.333333333333334,161,187,1224,0.05
59,medium,71.52157899133593,12.680851063829786,167,261,1177,0.05
60,medium,1427.1376379170385,12.488888888888889,148,162,1256,0.05
61,medium,1350.8639944545173,12.487179487179487,132,226,1246,0.05
62,high,4118.353091967045,0.6129032258064516,17,38,1640,0.05
63,low,-2972.911695372779,144.4,186,463,676,0.05
64,low,-1921.2609835114044,596.0,160,425,697,0.05
65,medium,2223.881858000461,14.666666666666666,115,143,1270,0.05
66,low,-1563.4870744405753,51.61538461538461,180,478,702,0.05
67,high,3647.3340590506755,0.8387096774193549,24,49,1631,0.05
68,low,-1431.5823947696867,90.6,118,569,682,0.05
69,high,3196.8252448805397,1.1157894736842104,31,96,1608,0.05
70,high,3269.67845888007,0.9795918367346939,28,83,1618,0.05
71,medium,130.79417290753725,14.14,181,239,1156,0.05
72,high,4139.2621443924,0.6421052631578947,22,61,1646,0.05
73,low,-1124.107228025565,48.0,152,484,685,0.05
74,low,-1100.6080718732571,38.15,208,401,719,0.05
75,high,4332.33744722541,0.6458333333333334,17,41,1644,0.05
76,low,-325.75146742240526,178.0,92,469,759,0.05
77,high,4254.735221186867,0.9183673469387755,24,52,1624,0.05
78,low,112.08811659087168,0,92,491,728,0.05
79,low,-352.9068533623525,0,87,491,681,0.05
80,low,-294.82104322105164,0,98,542,707,0.05
81,high,4437.964520339034,0.6304347826086957,16,58,1648,0.05
82,low,-682.0428937548703,460.0,124,570,686,0.05
83,low,-898.5833568756987,420.0,109,445,739,0.05
84,medium,1306.7370908879975,12.9,205,149,1151,0.05
85,medium,566.0016713907556,20.8125,94,281,1256,0.05
86,low,-533.3484412737217,180.5,95,549,719,0.05
87,high,3959.326525802385,0.9574468085106383,24,79,1637,0.05
88,medium,771.0886274386273,13.35,215,96,1164,0.05
89,medium,2200.0968442156804,13.736842105263158,136,183,1245,0.05
90,low,-334.43798236476147,453.0,117,479,694,0.05
91,low,26.176641838435238,158.66666666666666,125,415,725,0.05
92,high,4417.73382836527,0.8041237113402062,20,46,1637,0.05
93,medium,2212.6502405199326,10.634920634920634,174,135,1207,0.05
94,medium,2331.521266127457,10.390243902439025,111,186,1232,0.05
95,medium,1494.1112610725497,12.73913043478261,156,133,1192,0.05
96,low,498.5266629526593,311.0,83,514,659,0.05
97,medium,1683.5753440241058,10.541666666666666,132,182,1246,0.05
98,low,601.2597881389419,385.0,101,474,681,0.05
99,low,58.09458781479764,454.0,115,539,757,0.05
100,high,4311.461887587998,0.7708333333333334,22,52,1638,0.05
101,high,3572.233902571694,1.0729166666666667,29,44,1619,0.05
102,medium,1072.125080607384,15.153846153846153,202,191,1142,0.05
103,medium,2009.6738124675826,11.11111111111111,229,137,1149,0.05
104,low,284.76686916619275,190.5,100,456,702,0.05
105,medium,1165.812084744582,9.0,107,221,1264,0.05
106,low,-36.05368362495727,118.33333333333333,90,544,687,0.05
107,high,3612.0294857542785,0.8571428571428571,23,64,1628,0.05
